owner_category,owner_name,property_address,city,apn,lot_sqft,lot_acres,jurisdiction,zoning,property_use,assessed_land,assessed_improvement,assessed_total,improv_land_ratio,last_transfer_date,assessor_last_sale_date,lat,lon,score,score_reasons,source,current_use_web,current_use_source
3 Municipal,MT VIEW CITY,,MOUNTAIN VIEW,116-21-054,309292,7.100,SANTA CLARA,P(34),VACANT LAND,0,0,0,,,,37.421383,-122.079532,75,VACANT LAND +25; 5-20ac -5; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,259-03-136,257004,5.900,SANTA CLARA,SJ,VACANT LAND,0,0,0,,,1978-09-26,37.347219,-121.910229,75,VACANT LAND +25; 5-20ac -5; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,472-01-024,253955,5.830,SANTA CLARA,M1,VACANT LAND,0,0,0,,,1974-09-20,37.334842,-121.863607,75,VACANT LAND +25; 5-20ac -5; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,472-11-081,249639,0.000,SANTA CLARA,,VACANT LAND,0,0,0,,,,37.328547,-121.865847,75,VACANT LAND +25; 5-20ac -5; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,660-63-003,244510,5.613,SANTA CLARA,,VACANT LAND,0,0,0,,,,37.304367,-121.762838,75,VACANT LAND +25; 5-20ac -5; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,5600 COTTLE RD,SAN JOSE,706-07-018,234788,5.390,SANTA CLARA,I,VACANT LAND,0,0,0,,,,37.245321,-121.797214,75,VACANT LAND +25; 5-20ac -5; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,300 EMORY ST,SAN JOSE,259-07-113,225000,5.165,SANTA CLARA,LI,VACANT LAND,0,0,0,,,1978-03-23,37.346048,-121.90923,75,VACANT LAND +25; 5-20ac -5; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SAN JOSE,2090 EVANS LN,SAN JOSE,456-09-016,218115,5.007,SANTA CLARA,ML,VACANT LAND,0,0,0,,2014-05-14,,37.296297,-121.875594,75,VACANT LAND +25; 5-20ac -5; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,269-16-080,43379,0.996,SANTA CLARA,SC,OTHER / UNKNOWN,0,0,0,,,,37.352292,-121.942307,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,,MOUNTAIN VIEW,148-36-009,43123,0.990,SANTA CLARA,PF,OTHER / UNKNOWN,0,0,0,,,1986-08-21,37.400609,-122.104118,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,458-05-102,42689,0.980,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,1975-05-21,37.262586,-121.86553,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,491-15-031,41864,0.961,SANTA CLARA,IP,OTHER / UNKNOWN,0,0,0,,,1966-02-27,37.338614,-121.820628,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,104-41-037,41855,0.961,SANTA CLARA,SC,OTHER / UNKNOWN,0,0,0,,,1976-05-18,37.390991,-121.968859,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,GROVE S D OAK,,SAN JOSE,462-34-038,41730,0.958,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.270184,-121.84368,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,351-05-021,41714,0.958,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.339782,-122.177779,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,725-10-009,40946,0.940,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,1981-09-15,37.191154,-121.708308,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,124-33-059,40714,0.935,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.426588,-122.143548,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,SIDE UNION H S D EAST,,SAN JOSE,491-17-001,40569,0.931,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.334072,-121.828481,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,097-33-110,40228,0.924,SANTA CLARA,IP,INDUSTRIAL,0,0,0,,,,37.404677,-121.92884,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,282-44-030,39892,0.916,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.314511,-121.923064,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SAN JOSE,806 W HOME ST,SAN JOSE,264-11-112,39775,0.913,SANTA CLARA,HI,INDUSTRIAL,0,0,0,,2011-10-26,2011-10-26,37.319835,-121.903718,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,PALO ALTO UNIFIED SCHOOL DIST,,PALO ALTO,167-05-031,39693,0.911,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,2002-12-10,,37.40356,-122.127241,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,104-01-104,39361,0.904,SANTA CLARA,M1,INDUSTRIAL,0,0,0,,,,37.416403,-121.974352,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,692-15-095,39264,0.901,SANTA CLARA,LI,OTHER / UNKNOWN,0,0,0,,,,37.245345,-121.817702,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,PALO ALTO,127-31-031,39163,0.899,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.436788,-122.131634,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF MOUNTAIN VIEW,2254 WYANDOTTE ST,MOUNTAIN VIEW,147-06-054,38456,0.883,SANTA CLARA,MM-40,INDUSTRIAL,0,0,0,,2015-02-10,2015-02-10,37.417003,-122.095415,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,458-11-018,37887,0.870,SANTA CLARA,,OTHER / UNKNOWN,0,0,0,,,,37.258487,-121.86356,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,S D SUNNYVALE,,SUNNYVALE,110-20-012,37622,0.864,SANTA CLARA,SU,OTHER / UNKNOWN,0,0,0,,,,37.396414,-122.00153,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,429-17-036,37408,0.859,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.303749,-121.898563,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF MOUNTAIN VIEW,909 SAN RAFAEL AVE,MOUNTAIN VIEW,153-18-012,37400,0.859,SANTA CLARA,MM,INDUSTRIAL,0,0,0,,2022-12-22,2022-12-22,37.406847,-122.072235,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,,MOUNTAIN VIEW,158-10-044,36519,0.838,SANTA CLARA,,OTHER / UNKNOWN,0,0,0,,,1972-12-11,37.390755,-122.085872,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,673-19-103,35719,0.820,SANTA CLARA,,OTHER / UNKNOWN,0,0,0,,,1974-11-15,37.316036,-121.803793,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,CAMPBELL,412-09-047,35710,0.820,SANTA CLARA,PF/OS,OTHER / UNKNOWN,0,0,0,,,,37.28668,-121.939153,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,003-45-087,35608,0.817,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.444849,-122.140208,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY PUBLIC WORKS,804 W SAN FERNANDO ST,SAN JOSE,261-36-076,35410,0.813,SANTA CLARA,M1H,INDUSTRIAL,0,0,0,,2001-12-20,2001-12-20,37.328658,-121.905427,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,650 S SHORELINE BLVD,MOUNTAIN VIEW,154-30-066,34839,0.800,SANTA CLARA,MV,OTHER / UNKNOWN,0,0,0,,,,37.390106,-122.087277,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MOUNTAIN VIEW CITY (CA),123 E EVELYN AVE,MOUNTAIN VIEW,160-64-018,34540,0.793,SANTA CLARA,MM,INDUSTRIAL,1161576,6037923,7199499,5.198,2002-04-16,1989-10-05,37.389129,-122.065233,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,947 VILLA ST,MOUNTAIN VIEW,158-13-021,34528,0.793,SANTA CLARA,MV,OTHER / UNKNOWN,0,0,0,,,,37.394219,-122.081077,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SUNNYVALE CITY,108 S MARY AVE,SUNNYVALE,165-20-015,34476,0.791,SANTA CLARA,M1,INDUSTRIAL,0,0,0,,,1978-10-16,37.38211,-122.04463,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,456-26-001,34286,0.787,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.294117,-121.872796,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,5880 SILVER CREEK VALLEY RD,SAN JOSE,678-15-013,33976,0.780,SANTA CLARA,PUB,OTHER / UNKNOWN,0,0,0,,,1984-12-27,37.265334,-121.782227,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,ANDSBURY AVE,MOUNTAIN VIEW,158-42-021,33418,0.767,SANTA CLARA,PF,OTHER / UNKNOWN,0,0,0,,,1973-08-08,37.394819,-122.073404,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,1617 AIRPORT BLVD,SAN JOSE,230-46-024,33332,0.765,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.362927,-121.920009,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SUNNYVALE CITY,,SUNNYVALE,213-46-015,33154,0.761,SANTA CLARA,SU,OTHER / UNKNOWN,0,0,0,,,,37.352465,-122.0133,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,491-12-067,33106,0.760,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.332236,-121.822185,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,264-44-082,33042,0.759,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,1977-05-20,37.316844,-121.902222,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,,SUNNYVALE,198-42-037,33019,0.758,SANTA CLARA,SU,OTHER / UNKNOWN,0,0,0,,,1969-11-19,37.365045,-122.06238,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,124-33-007,32644,0.749,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.425388,-122.144532,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,120-27-053,32503,0.746,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.443849,-122.159145,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,132-26-052,32383,0.743,SANTA CLARA,PF,OTHER / UNKNOWN,0,0,0,,,,37.424053,-122.13431,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF CUPERTINO,,SAN JOSE,375-22-001,31850,0.731,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,2020-09-24,,37.31263,-121.996182,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,120-15-098,31799,0.730,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,1973-01-26,37.447215,-122.161677,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,678-07-006,31798,0.730,SANTA CLARA,IP,OTHER / UNKNOWN,0,0,0,,,,37.251494,-121.780958,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SUNNYVALE,725 KIFER RD,SUNNYVALE,205-44-005,31798,0.730,SANTA CLARA,MS,INDUSTRIAL,0,0,0,,2019-11-26,2003-04-17,37.375977,-122.015298,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,491-15-022,31707,0.728,SANTA CLARA,IP,OTHER / UNKNOWN,0,0,0,,,1965-12-03,37.337965,-121.82,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,497-38-011,31633,0.726,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,1979-09-21,37.306479,-121.848907,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,678-07-015,31363,0.720,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.255197,-121.789202,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,220-01-022,31295,0.718,SANTA CLARA,SC,OTHER / UNKNOWN,0,0,0,,,,37.353806,-121.985883,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SANTA CLARA,,SANTA CLARA,101-15-049,30674,0.704,SANTA CLARA,SC,OTHER / UNKNOWN,0,0,0,,2019-02-14,,37.388348,-121.943556,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,120-15-073,30492,0.700,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,1976-05-04,37.447367,-122.158846,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,491-15-021,29675,0.681,SANTA CLARA,IP,OTHER / UNKNOWN,0,0,0,,,1965-12-03,37.338905,-121.821955,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,104-34-052,29621,0.680,SANTA CLARA,SC,OTHER / UNKNOWN,0,0,0,,,1966-08-23,37.391349,-121.967669,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,375 HAMILTON AVE,PALO ALTO,120-15-086,29620,0.680,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.446165,-122.159788,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,678-39-089,29400,0.675,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,1979-12-28,37.269483,-121.797815,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,462-36-036,29144,0.669,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.268249,-121.84418,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,104-42-008,29045,0.667,SANTA CLARA,SC,OTHER / UNKNOWN,0,0,0,,,1985-10-02,37.399198,-121.977488,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,491-13-009,28604,0.657,SANTA CLARA,IP,OTHER / UNKNOWN,0,0,0,,,,37.337329,-121.817631,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CUPERTINO CITY,10309 MARY AVE,CUPERTINO,326-27-030,28600,0.657,SANTA CLARA,CU,OTHER / UNKNOWN,0,0,0,,,,37.327617,-122.050787,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,477-12-044,28527,0.655,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,1979-02-23,37.321857,-121.853023,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,275 CAMBRIDGE AVE,PALO ALTO,124-28-051,28467,0.654,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.428319,-122.144186,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,230-46-017,26994,0.620,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.355203,-121.914027,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,237-06-010,26590,0.610,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.365851,-121.899264,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,381-19-016,26521,0.609,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.305791,-121.994376,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,491-15-034,26512,0.609,SANTA CLARA,IP,OTHER / UNKNOWN,0,0,0,,,1965-12-03,37.338824,-121.821186,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,269-22-107,26061,0.598,SANTA CLARA,SC,OTHER / UNKNOWN,0,0,0,,,,37.348784,-121.94739,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,120-26-005,25905,0.595,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.445442,-122.163528,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,COUNTY OF SANTA CLARA,,SAN JOSE,491-01-032,25884,0.594,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,2021-08-26,,37.337803,-121.816708,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,497-42-008,25812,0.593,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.305884,-121.839556,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,PALO ALTO,127-30-075,25796,0.592,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.439518,-122.128924,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,120-25-061,25425,0.584,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.445216,-122.165982,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,120-26-088,25425,0.584,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.443416,-122.163057,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,567-53-014,25299,0.581,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.243601,-121.875405,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,687-21-073,25021,0.574,SANTA CLARA,C,OTHER / UNKNOWN,0,0,0,,,,37.242895,-121.84889,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CAMPBELL CITY,,CAMPBELL,412-09-046,24969,0.573,SANTA CLARA,PF/OS,OTHER / UNKNOWN,0,0,0,,,,37.285997,-121.939297,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,MT VIEW CITY,1600 N SHORELINE BLVD,MOUNTAIN VIEW,116-10-070,24829,0.570,SANTA CLARA,P(3),INDUSTRIAL,0,0,0,,2011-04-27,2011-04-27,37.416696,-122.078711,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,304 N 6TH ST,SAN JOSE,249-48-045,24724,0.568,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.343455,-121.88832,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,679-17-024,24562,0.564,SANTA CLARA,,OTHER / UNKNOWN,0,0,0,,,,37.294189,-121.787911,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,708-17-035,24404,0.560,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.220281,-121.771107,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,259-33-078,23858,0.548,SANTA CLARA,CG,OTHER / UNKNOWN,0,0,0,,,1977-09-12,37.338719,-121.895011,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,230-21-055,23801,0.546,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.3442,-121.925232,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,CITY OF SAN JOSE,699 W SAN CARLOS ST,SAN JOSE,261-38-049,23640,0.543,SANTA CLARA,MH,INDUSTRIAL,7646945,0,7646945,0.000,2023-12-21,2023-12-21,37.324245,-121.903875,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SUNNYVALE CITY,1282 LAWRENCE STATION RD,SUNNYVALE,104-33-002,23546,0.541,SANTA CLARA,SU,OTHER / UNKNOWN,0,0,0,,,,37.407633,-121.995444,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,472-16-001,23522,0.540,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,1972-12-21,37.323143,-121.878387,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,751 N SAN PEDRO ST,SAN JOSE,259-06-056,23435,0.538,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.348088,-121.903324,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,706-03-020,23251,0.534,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,1983-11-23,37.239132,-121.78972,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,124 DELMAS AVE,SAN JOSE,259-45-095,22651,0.520,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.329737,-121.897057,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,120-26-027,22500,0.517,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,,37.444707,-122.163613,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,1699 S KING RD,SAN JOSE,481-39-026,22419,0.515,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.339979,-121.843711,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SUNNYVALE CITY,,SUNNYVALE,213-25-001,22352,0.513,SANTA CLARA,SU,OTHER / UNKNOWN,0,0,0,,,,37.356489,-122.013741,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,148-06-019,22216,0.510,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,1974-05-29,37.408142,-122.116673,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,SANTA CLARA COUNTY,,SAN JOSE,455-13-034,22212,0.510,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.285453,-121.882436,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,PALO ALTO CITY,,PALO ALTO,124-15-044,22129,0.508,SANTA CLARA,PA,OTHER / UNKNOWN,0,0,0,,,1983-05-31,37.438422,-122.155248,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,350 W JULIAN ST,SAN JOSE,259-30-103,21962,0.504,SANTA CLARA,LI,OTHER / UNKNOWN,0,0,0,,2001-05-08,2001-05-08,37.335765,-121.898862,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,429-14-020,21292,0.489,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.301476,-121.903661,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,230-32-110,21214,0.487,SANTA CLARA,SJ,OTHER / UNKNOWN,0,0,0,,,,37.359179,-121.915486,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SANTA CLARA CITY,,SANTA CLARA,101-11-008,21121,0.485,SANTA CLARA,SC,OTHER / UNKNOWN,0,0,0,,,1973-06-06,37.38183,-121.949954,75,<1ac infill +20; owner +5,ATTOM taxassessor (Santa Clara County),,
